Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,133.7818,-77.3658,-90.0,top
C2,10u,C_0402_1005Metric,134.7216,-77.3658,-90.0,top
C3,1u,C_0402_1005Metric,134.2644,-75.7682,180.0,top
C4,4.7u,C_0402_1005Metric,141.7346,-80.1624,180.0,top
C5,0.1u,C_0402_1005Metric,141.7346,-79.2226,180.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,128.46,-76.2,90.0,top
R1,5.1k,R_0402_1005Metric,144.6022,-73.5584,-90.0,top
R2,5.1k,R_0402_1005Metric,145.7452,-73.5584,-90.0,top
R3,1k,R_0402_1005Metric,141.732,-81.153,0.0,top
R4,0,R_0402_1005Metric,147.2184,-73.5636,90.0,top
U1,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,138.9421,-76.0095,180.0,top
U2,CP2102N-Axx-xQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,146.1516,-79.5742,180.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,136.2632,-80.4282,0.0,top
